SCS_CHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
0,-0.003860421,-0.006881010000000001,-0.000378164,93763,1627913374,562954391
0,-0.0038560730000000002,-0.006879489000000001,-0.00036864300000000004,93764,1627913374,569087237
-9.225935462277869e-07,-0.0038628000000000004,-0.006862745000000001,-0.00035099700000000003,93765,1627913374,574976543
-9.225935462277869e-07,-0.003861845,-0.006870866000000001,-0.000337234,93766,1627913374,581120640
-9.225935462277869e-07,-0.0038735090000000002,-0.006861982000000001,-0.000331401,93767,1627913374,587003552
-9.225935462277869e-07,-0.0038654690000000003,-0.006879006,-0.000315326,93768,1627913374,592928319
1.3062069954328814e-06,-0.0038564320000000003,-0.006905101,-0.00030579100000000003,93769,1627913374,599027771
1.3062069954328814e-06,-0.0038591890000000003,-0.006908929,-0.00031779400000000004,93770,1627913374,605005020
1.3062069954328814e-06,-0.0038833730000000003,-0.006890539,-0.000330645,93771,1627913374,611009344
-5.868157400266837e-06,-0.003885767,-0.0068565810000000005,-0.000336039,93772,1627913374,617024144
-5.868157400266837e-06,-0.003861755,-0.006873378,-0.00033356200000000003,93773,1627913374,623042509
-5.868157400266837e-06,-0.0038479060000000003,-0.006889089,-0.00033929500000000004,93774,1627913374,629056143
1.03137251051065e-05,-0.0038342170000000004,-0.006888825,-0.00032492700000000003,93775,1627913374,634972380
1.03137251051065e-05,-0.003827623,-0.006885935,-0.00030722700000000003,93776,1627913374,641058388
1.03137251051065e-05,-0.0038555440000000002,-0.006866713000000001,-0.000300931,93777,1627913374,647104613
1.03137251051065e-05,-0.003862907,-0.006856097,-0.000305233,93778,1627913374,652983109
2.3436762832592337e-06,-0.003838666,-0.006863393000000001,-0.000309492,93779,1627913374,659007986
2.3436762832592337e-06,-0.0038599790000000004,-0.00686708,-0.000304471,93780,1627913374,665061213
2.3436762832592337e-06,-0.003854473,-0.00690899,-0.00031325,93781,1627913374,670930976
4.396634420749995e-06,-0.003862893,-0.006912261,-0.00032751700000000004,93782,1627913374,676977824
4.396634420749995e-06,-0.0038804850000000004,-0.0068914070000000004,-0.00034080300000000004,93783,1627913374,683070874
4.396634420749995e-06,-0.00387788,-0.0068698330000000005,-0.000343383,93784,1627913374,689057949
4.1820368190343866e-07,-0.0038599470000000003,-0.006872464,-0.00033939200000000005,93785,1627913374,694980548
4.1820368190343866e-07,-0.003846962,-0.006900187,-0.000341476,93786,1627913374,701051894
4.1820368190343866e-07,-0.0038394400000000004,-0.006894086000000001,-0.000335568,93787,1627913374,707000307
4.1820368190343866e-07,-0.0038283930000000002,-0.0068607550000000005,-0.000330616,93788,1627913374,713017774
