OMEGA,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
359.9540100097656,0.227709935,-0.415935867,1.108898878,2803119,1628166378,202637009
359.9724426269531,0.22773209200000002,-0.41593180500000004,1.1089139140000002,2803120,1628166378,208509921
359.95587158203125,0.22773115800000002,-0.41593550300000004,1.1089103850000002,2803121,1628166378,214693811
359.9447937011719,0.227738715,-0.415922069,1.1089265910000001,2803122,1628166378,220587534
359.9687805175781,0.22772036,-0.41592968100000005,1.108911824,2803123,1628166378,226564796
359.939208984375,0.22771828200000002,-0.41593157900000005,1.108897193,2803124,1628166378,232569613
359.94659423828125,0.227733508,-0.41596502700000004,1.108912818,2803125,1628166378,238498896
359.9502868652344,0.22793549400000002,-0.416040887,1.1092069880000002,2803126,1628166378,244610383
359.9853820800781,0.22817209900000002,-0.415832437,1.109733054,2803127,1628166378,250597787
0.00015014481323305517,0.228039803,-0.415920353,1.1097283290000002,2803128,1628166378,256548678
0.011220423504710197,0.22809827100000002,-0.415824444,1.109597849,2803129,1628166378,262599490
0.0850198045372963,0.227928245,-0.415903165,1.10937872,2803130,1628166378,268589474
0.14038747549057007,0.227909466,-0.415847501,1.109409946,2803131,1628166378,274548382
0.1644228845834732,0.227901066,-0.41580849400000003,1.1095521720000001,2803132,1628166378,280590463
0.15885497629642487,0.227918161,-0.41586955800000003,1.1093902800000002,2803133,1628166378,286566072
0.1588142067193985,0.228066507,-0.415943282,1.10906814,2803134,1628166378,292591561
0.22352974116802216,0.228186415,-0.41603706300000004,1.1090038580000001,2803135,1628166378,298511833
0.23448576033115387,0.22804084100000002,-0.416001481,1.10918519,2803136,1628166378,304591638
0.2529696524143219,0.22778984200000002,-0.415757727,1.1092985130000002,2803137,1628166378,310559388
0.3064853250980377,0.22768969600000002,-0.41556099,1.109266596,2803138,1628166378,316587495
0.299055814743042,0.227849506,-0.41559546,1.1091578400000002,2803139,1628166378,322590335
0.3840760290622711,0.22817975000000001,-0.41596305,1.1090849150000002,2803140,1628166378,328551163
0.39327943325042725,0.228259872,-0.41620545000000003,1.1091593290000001,2803141,1628166378,334679112
0.4079788625240326,0.228120694,-0.41608673900000004,1.109266439,2803142,1628166378,340571746
0.4485180377960205,0.22789261900000002,-0.41573800200000005,1.109359781,2803143,1628166378,346522357
0.5038370490074158,0.227803318,-0.41560143800000005,1.1092879230000001,2803144,1628166378,352590043
0.520491361618042,0.227963452,-0.415735648,1.1092138280000001,2803145,1628166378,358523766
0.5466382503509521,0.228126395,-0.41595648,1.109289981,2803146,1628166378,364646572
0.5800173878669739,0.22813812000000003,-0.416055326,1.109381007,2803147,1628166378,370557559
0.626060962677002,0.22804253600000002,-0.415991527,1.1093277270000002,2803148,1628166378,376540007
0.6459127068519592,0.22792624,-0.41584463400000005,1.109156446,2803149,1628166378,382553856
0.673693835735321,0.22790432600000002,-0.415772232,1.109108733,2803150,1628166378,388602307
0.7034870982170105,0.227923798,-0.415811246,1.1092476770000002,2803151,1628166378,394580839
0.7422734498977661,0.22794370400000002,-0.415877135,1.1093046500000001,2803152,1628166378,400486034
0.7535905838012695,0.227979481,-0.415885249,1.109193782,2803153,1628166378,406543108
0.8117636442184448,0.228065128,-0.41587769,1.109087265,2803154,1628166378,412520236
0.8267304301261902,0.228138471,-0.415912696,1.1091627800000001,2803155,1628166378,418593707
0.8769049048423767,0.228124143,-0.415938536,1.1093349510000001,2803156,1628166378,424665399
0.8806806206703186,0.22801794800000003,-0.41591147,1.109353996,2803157,1628166378,430550709
0.9452482461929321,0.22793517000000002,-0.415822391,1.109240099,2803158,1628166378,436559388
0.9804396033287048,0.22789689100000002,-0.415720122,1.109201562,2803159,1628166378,442583956
0.9818754196166992,0.227960456,-0.41576758,1.109282179,2803160,1628166378,448587596
0.9910367727279663,0.22805793600000002,-0.41592307100000003,1.109348161,2803161,1628166378,454666772
1.0854350328445435,0.228087533,-0.41604344400000004,1.109316269,2803162,1628166378,460553237
1.0729316473007202,0.22804949200000002,-0.415968296,1.1092045590000001,2803163,1628166378,466556252
1.0843210220336914,0.22796380000000002,-0.41580404800000004,1.109185463,2803164,1628166378,472623047
1.1151384115219116,0.227912303,-0.415690535,1.1092269810000002,2803165,1628166378,478595663
1.1558510065078735,0.22792963200000002,-0.415706646,1.109299121,2803166,1628166378,484620197
1.2078778743743896,0.22802842,-0.415831443,1.109333794,2803167,1628166378,490613280
1.1985317468643188,0.22813106900000002,-0.41600976,1.1092312320000002,2803168,1628166378,496551170
1.255271553993225,0.22813824600000002,-0.41605087100000004,1.109146575,2803169,1628166378,502623272
1.2718372344970703,0.22803904800000002,-0.41592091400000003,1.109222736,2803170,1628166378,508585134
1.338258981704712,0.22788385900000002,-0.41567602800000003,1.1094112010000001,2803171,1628166378,514671973
1.3206568956375122,0.22783756700000002,-0.415600128,1.109465088,2803172,1628166378,520584436
1.3839386701583862,0.22796880700000002,-0.41574106400000005,1.1093101220000001,2803173,1628166378,526585596
1.4125100374221802,0.22815041400000002,-0.415981296,1.109236093,2803174,1628166378,532607551
1.4345171451568604,0.22816266100000002,-0.416091225,1.109337676,2803175,1628166378,538580102
1.4672132730484009,0.228026218,-0.415994442,1.109449723,2803176,1628166378,544603256
1.4614449739456177,0.227855042,-0.415795099,1.1094020900000001,2803177,1628166378,550521959
1.501233696937561,0.22783212500000002,-0.415661243,1.109277603,2803178,1628166378,556560020
1.5715625286102295,0.22797655500000003,-0.41575379500000004,1.109285722,2803179,1628166378,562625400
