OMEGA,SCS_CHI,SCS_PHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
359.9945983886719,0,0,-1.6243681970000001,0.234990258,-0.179308358,147479131,1630073019,72258580
359.9521789550781,0,0,-1.6243832100000002,0.234998581,-0.179301454,147479132,1630073019,78212712
359.93743896484375,5.135171691372909e-06,2.678e-06,-1.624375233,0.23500225500000002,-0.179314099,147479133,1630073019,84264077
359.9540100097656,5.135171691372909e-06,2.678e-06,-1.6243636330000002,0.235012922,-0.17930088000000002,147479134,1630073019,90220801
359.9687805175781,5.135171691372909e-06,2.678e-06,-1.62437056,0.23502862100000002,-0.17929878000000002,147479135,1630073019,96245735
359.9521789550781,5.135171691372909e-06,2.678e-06,-1.6243758940000002,0.23503305300000002,-0.179299638,147479136,1630073019,102322070
359.9484558105469,-7.203748579059544e-07,2.092e-06,-1.6243858500000001,0.23502793000000002,-0.179290215,147479137,1630073019,108253040
359.9853820800781,-7.203748579059544e-07,2.092e-06,-1.624374666,0.23501539800000001,-0.179276672,147479138,1630073019,114234295
359.9281311035156,-7.731276334751205e-07,-4.710000000000001e-06,-1.624376204,0.23500556500000003,-0.179271916,147479139,1630073019,122308501
359.97430419921875,-7.731276334751205e-07,-4.710000000000001e-06,-1.624378005,0.23501295300000002,-0.179279069,147479140,1630073019,128239133
359.9207763671875,-7.731276334751205e-07,-4.710000000000001e-06,-1.6243759370000002,0.23501022300000002,-0.179280835,147479141,1630073019,134215144
359.9429626464844,-7.731276334751205e-07,-4.710000000000001e-06,-1.6243730310000002,0.23499697100000003,-0.179272326,147479142,1630073019,140235264
359.9779968261719,-1.3138425867804629e-06,3.77e-07,-1.624378349,0.23498954700000002,-0.17927463800000001,147479143,1630073019,146211521
359.931884765625,-1.3138425867804629e-06,3.77e-07,-1.62438641,0.23498532400000002,-0.17927291,147479144,1630073019,152234015
359.9373779296875,-1.3138425867804629e-06,3.77e-07,-1.624397504,0.234995261,-0.17928543300000002,147479145,1630073019,158215062
359.9576721191406,-2.931591400283075e-06,-6.547e-06,-1.6243941960000001,0.23498300700000002,-0.179276131,147479146,1630073019,165237737
359.97430419921875,-2.931591400283075e-06,-6.547e-06,-1.624389792,0.23498388,-0.17927377,147479147,1630073019,170233869
359.9576721191406,-2.931591400283075e-06,-6.547e-06,-1.624395266,0.234993851,-0.179269848,147479148,1630073019,176235714
359.97430419921875,9.896909755408187e-07,-5.065000000000001e-06,-1.624401551,0.23498801200000002,-0.179262849,147479149,1630073019,182213538
359.97247314453125,9.896909755408187e-07,-5.065000000000001e-06,-1.624398347,0.23498306700000002,-0.17926840800000002,147479150,1630073019,188235773
359.948486328125,9.896909755408187e-07,-5.065000000000001e-06,-1.624401747,0.23500236100000002,-0.179268794,147479151,1630073019,194209463
359.9761657714844,9.896909755408187e-07,-5.065000000000001e-06,-1.624402466,0.23501226400000003,-0.17926391400000002,147479152,1630073019,200228810
