CHI,OMEGA,X_LUT,Y_LUT,Z_LUT
0.0,5.0,2.8395636363636365e-05,0.00010367064646464649,6.879981818181817e-05
0.0,15.0,2.8517929999999992e-05,0.00015406043,3.3047349999999995e-05
0.0,25.0,8.291571717171717e-05,0.00010778484848484847,-0.00024970711111111114
0.0,35.0,0.00017154527,9.947233e-05,-0.00057617149
0.0,45.0,0.00039891857999999996,0.00016957982,-0.0009736136900000001
0.0,55.0,0.00041048753535353534,2.352805050505051e-05,-0.0007233128383838384
0.0,65.0,0.0006847410300000001,-0.00018390226,-0.00044225646
0.0,75.0,0.00106282474,-0.00042196222000000005,-0.0002245628
0.0,85.0,0.0009579497700000002,-0.00088889228,0.0005725036900000001
0.0,95.0,0.0011119056565656565,-0.000830827606060606,0.001055169393939394
0.0,105.0,0.00137274962,-0.00046206632,0.0016969658100000002
0.0,115.0,0.0018308263699999996,0.00041612384,0.00282405386
0.0,125.0,0.00189255034,0.00091880009,0.0032583957800000007
0.0,135.0,0.0021413181414141414,0.0018907245959595962,0.003784501909090909
0.0,145.0,0.0020281423000000002,0.0025021122899999996,0.0034056787399999997
0.0,155.0,0.002142713089108911,0.0034663299504950496,0.0029401918019801975
0.0,165.0,0.00220339708,0.0046244061599999995,0.0022722078599999996
0.0,175.0,0.00230968493,0.005589928629999999,0.0015470339800000002
0.0,185.0,0.0023050576,0.00622098975,0.00065783914
0.0,195.0,0.002300849485148515,0.006315700346534655,-0.0004311145346534654
0.0,205.0,0.00243339478,0.005797384010000001,-0.0017219636799999999
0.0,215.0,0.0021300687425742574,0.005766737237623763,-0.0030106367821782177
0.0,225.0,0.00202425673,0.00516839101,-0.004165196720000001
0.0,235.0,0.001847930068627451,0.004571854117647058,-0.004953805215686275
0.0,245.0,0.00185418633,0.0035149735300000003,-0.0051191862
0.0,255.0,0.0015338779595959599,0.0023045028383838384,-0.0052065445959595955
0.0,265.0,0.0013151629603960398,0.0009539161980198021,-0.005022331633663366
0.0,275.0,0.00108015681,6.854838000000001e-05,-0.004795403730000001
0.0,285.0,0.0008577187100000001,-0.00042639566999999996,-0.00431221136
0.0,295.0,0.0007326049700000001,-0.00078381949,-0.0034161055500000004
0.0,305.0,0.0007919756499999999,-0.0011183846100000002,-0.00217660691
0.0,315.0,0.0009037764799999999,-0.0009195110400000001,-0.0008737796099999999
0.0,325.0,0.0005343512079207921,-0.0011123572475247524,-0.0006185426534653465
0.0,335.0,0.0002592684646464646,-0.0009629024141414143,-0.0005946508484848484
0.0,345.0,0.00017550337999999998,-0.0003588162400000001,-0.00041762693
0.0,355.0,0.0003225413889354568,-0.00030523122967309304,-0.0005176777074601844
10.0,5.0,0.012361212380000002,-0.07744565018000002,-0.10999921873
10.0,15.0,0.012196265299999998,-0.09549568043000001,-0.09450099061
10.0,25.0,0.012122597910000001,-0.11079648774,-0.07634898714
10.0,35.0,0.012141911704081632,-0.1226213820714286,-0.056259265132653065
10.0,45.0,0.012171339480000003,-0.13084167548000003,-0.03443332114
10.0,55.0,0.012173673090000002,-0.13505151272000002,-0.0110995714
10.0,65.0,0.01227948002,-0.13548416612000003,0.012795275000000002
10.0,75.0,0.01245488881,-0.13188344667000002,0.036366294189999995
10.0,85.0,0.012624504060000001,-0.12428267127000002,0.05883886586999999
