CHI,OMEGA,X_LUT,Y_LUT,Z_LUT
0.0,5.0,-0.0001414470404040405,0.00032741119191919066,0.0004279666565656567
0.0,15.0,-6.509732000000011e-05,0.00043158180999999655,0.00029365442000000013
0.0,25.0,4.855656565655734e-07,0.0001420694141414128,-0.0001349865555555554
0.0,35.0,0.00010845435999999989,-6.474040000000125e-05,-0.0007638123699999998
0.0,45.0,0.00022199025252525245,-0.00018062874747474907,-0.0013671707777777773
0.0,55.0,0.0003596345399999999,-0.00036582762000000267,-0.001537632
0.0,65.0,0.0005178222525252525,-0.0008089939191919192,-0.001234308909090909
0.0,75.0,0.0006921720599999999,-0.0015116470400000014,-0.0007831062599999998
0.0,85.0,0.00089084489,-0.0020941998800000027,-0.00038538862999999983
0.0,95.0,0.001066907595959596,-0.0023677572727272755,8.065433333333349e-05
0.0,105.0,0.0012876485299999998,-0.0025014092100000018,0.0006422045300000002
0.0,115.0,0.0014744658699999999,-0.0019980041900000025,0.0015233228399999998
0.0,125.0,0.0016410662799999998,-0.0010884837700000025,0.00212481477
0.0,135.0,0.0017884670505050506,-0.0004427259191919214,0.0025683594444444444
0.0,145.0,0.0019065413564356435,0.0002575021584158384,0.002747626455445545
0.0,155.0,0.00202447122,0.0011651235099999983,0.00253492921
0.0,165.0,0.00208433656,0.002245783539999998,0.00216553113
0.0,175.0,0.0021120411900000004,0.003250832669999999,0.0015609674
0.0,185.0,0.0021241462871287127,0.0038133398415841568,0.0008123335742574259
0.0,195.0,0.00214350915,0.003940388829999998,-8.837928999999985e-05
0.0,205.0,0.0020945486199999996,0.0038059420399999978,-0.00105663935
0.0,215.0,0.0019712611584158414,0.0034258323069306894,-0.0020815597821782173
0.0,225.0,0.001847583891089109,0.0031451134455445532,-0.0029934639702970294
0.0,235.0,0.0017459231980198014,0.0022880859405940554,-0.0034631567722772276
0.0,245.0,0.00159613985,0.0015142774899999996,-0.00352246589
0.0,255.0,0.0013986755799999997,0.00016059123999999787,-0.003352947929999999
0.0,265.0,0.0011619947799999999,-0.0009992167700000022,-0.00321740076
0.0,275.0,0.0009374968599999997,-0.0016196466700000023,-0.0030509440899999995
0.0,285.0,0.0007545603762376237,-0.0019550488118811908,-0.002499278613861386
0.0,295.0,0.0005801962178217821,-0.002026565089108913,-0.0016312586633663367
0.0,305.0,0.00045868969999999994,-0.0021480604400000024,-0.0004978066599999999
0.0,315.0,0.0002735437799999999,-0.002106176520000002,0.0003157834900000002
0.0,325.0,0.0001622270299999999,-0.0017788317700000015,0.0005850523300000002
0.0,335.0,7.270145454545447e-05,-0.0011336321919191946,0.0006189574040404042
0.0,345.0,8.747129999999907e-06,-0.000355778770000002,0.0005671426000000002
0.0,355.0,-1.9571206722689157e-05,0.00015361673781512407,-0.00034900212857142836
10.0,5.0,0.012278609349999999,-0.07854664344,-0.10721359604
10.0,15.0,0.012143779272727272,-0.09602938124242424,-0.09194402
10.0,25.0,0.012116468250000003,-0.11110608534000001,-0.07391793927
10.0,35.0,0.012082445232323234,-0.12256922302020204,-0.05408560462626262
10.0,45.0,0.012104325340000005,-0.13049053439000002,-0.03241435116
10.0,55.0,0.012170804101010098,-0.1345586744242424,-0.009281626242424243
10.0,65.0,0.012279863019999998,-0.13490583949,0.01415172831
10.0,75.0,0.01248582434,-0.13142562634,0.03758843418
10.0,85.0,0.012696342810000004,-0.12369198699,0.059743853609999995
10.0,95.0,0.012971543262626261,-0.11209032805050503,0.07993467932323232
10.0,105.0,0.01319184479,-0.09697322547000001,0.09791472652
10.0,115.0,0.01346828608080808,-0.07865698495959596,0.11311446860606061
10.0,125.0,0.013731050690000001,-0.057803889020000006,0.12498195083000001
10.0,135.0,0.01399717708,-0.03541848950000001,0.13303913143999999
10.0,145.0,0.014353834130000003,-0.011776212630000005,0.13661367885
10.0,155.0,0.014567916260000001,0.012377236979999998,0.13599468989
10.0,165.0,0.014719560789999999,0.036478549420000006,0.13121400783
10.0,175.0,0.014917153504950494,0.05979741493069307,0.12207264497029705
10.0,185.0,0.01510684044,0.08064613913999999,0.10939875600999997
10.0,195.0,0.015251272960396035,0.09910726451485145,0.092989653009901
10.0,205.0,0.01536446831,0.11390666109,0.07366014879
10.0,215.0,0.015393118960396043,0.12545109929702972,0.05173240772277229
10.0,225.0,0.015404966850000002,0.13301059311999996,0.02846555408
10.0,235.0,0.015376015881188117,0.13641850516831683,0.004543209405940594
10.0,245.0,0.01524478494,0.13515705963,-0.01942432173
10.0,255.0,0.015041320910891092,0.12963438891089107,-0.042462131613861386
10.0,265.0,0.014803468799999999,0.12044404098999997,-0.06432327478000001
10.0,275.0,0.01459149227,0.10799052894,-0.08386259099000001
10.0,285.0,0.014253119287128715,0.0923156644059406,-0.10123511491089106
10.0,295.0,0.013933979479999999,0.07382670908,-0.11520803115
10.0,305.0,0.01360399802,0.05337541772,-0.12534851768000002
10.0,315.0,0.013265390750000002,0.031117540989999998,-0.13202329346
10.0,325.0,0.012977809831683168,0.007899333504950493,-0.1348420935247525
10.0,335.0,0.012718549565656566,-0.015165804727272724,-0.13382232212121214
10.0,345.0,0.01249499653,-0.03741182754,-0.12898553111000002
10.0,355.0,0.012124352193810249,-0.06779294504464738,-0.11542539065398275
20.0,5.0,0.039614525828282836,-0.12272811865656566,-0.20198186538383836
20.0,15.0,0.039347756,-0.15599089508,-0.17715426875
20.0,25.0,0.039603520272727274,-0.18525172313131316,-0.1472470295757576
20.0,35.0,0.03910494913000001,-0.20785590241000002,-0.11295764962
20.0,45.0,0.038988547474747476,-0.22478525418181822,-0.07531372258585858
20.0,55.0,0.03893768129,-0.23525476583,-0.03548784208
20.0,65.0,0.03892766263636364,-0.2387173333636364,0.005866229171717171
20.0,75.0,0.03919490718811881,-0.2355737187227723,0.04767457679207921
20.0,85.0,0.039342497303030306,-0.22482475605050506,0.08765462047474747
20.0,95.0,0.03960056537373737,-0.20778904815151517,0.12471250860606059
