CHI,OMEGA,OMEGA_Cont,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
0,359.94110107421875,359.94110107421875,3.907109063,0.22175592500000002,0.688598958,330876209,1631188868,805602337
0,359.9373779296875,359.9373779296875,3.907121371,0.22175028900000002,0.688590043,330876210,1631188868,811645655
-8.343137585777306e-06,359.9466552734375,359.9466552734375,3.907112661,0.221755271,0.6885684360000001,330876211,1631188868,817650430
-8.343137585777306e-06,359.9355773925781,359.9355773925781,3.9071027710000004,0.221732226,0.6885708890000001,330876212,1631188868,823887678
-8.343137585777306e-06,359.9613952636719,359.9613952636719,3.9071053510000002,0.22172955500000002,0.688577832,330876213,1631188868,829611026
-8.343137585777306e-06,359.95770263671875,359.95770263671875,3.9070922090000004,0.22174026400000002,0.6885691890000001,330876214,1631188868,835652858
1.0014793284129435e-05,359.9226379394531,359.9226379394531,3.907085529,0.221754198,0.688585741,330876215,1631188868,841629828
1.0014793284129435e-05,359.9521484375,359.9521484375,3.9070835300000004,0.221757492,0.688582746,330876216,1631188868,847639908
1.0014793284129435e-05,359.9337158203125,359.9337158203125,3.9070784450000002,0.221750057,0.6885590880000001,330876217,1631188868,853653946
8.229994896092343e-06,359.948486328125,359.948486328125,3.9070655210000003,0.22174506100000002,0.6885426090000001,330876218,1631188868,859630704
8.229994896092343e-06,359.95404052734375,359.95404052734375,3.907054108,0.22173966,0.688529248,330876219,1631188868,865633069
8.229994896092343e-06,359.92266845703125,359.92266845703125,3.907052955,0.221759528,0.688535542,330876220,1631188868,871624171
-8.558544359531339e-06,359.97430419921875,359.97430419921875,3.9070767190000004,0.22175888100000002,0.688523085,330876221,1631188868,877603061
-8.558544359531339e-06,359.9669494628906,359.9669494628906,3.9070692250000003,0.22177310200000003,0.688521813,330876222,1631188868,883725532
-8.558544359531339e-06,359.9263610839844,359.9263610839844,3.9070782100000003,0.22176588800000002,0.6885137330000001,330876223,1631188868,889753835
-8.558544359531339e-06,359.9761657714844,359.9761657714844,3.9070951320000002,0.22176356100000003,0.6885147340000001,330876224,1631188868,895610675
-5.0988474609885315e-06,359.9263610839844,359.9263610839844,3.907118715,0.22174658100000003,0.6885164380000001,330876225,1631188868,901637605
-5.0988474609885315e-06,359.9669494628906,359.9669494628906,3.9071134630000004,0.221739118,0.6885284190000001,330876226,1631188868,907697008
-5.0988474609885315e-06,359.94293212890625,359.94293212890625,3.9071054960000002,0.22173952800000002,0.688521334,330876227,1631188868,913681678
6.15505671537892e-06,359.9779968261719,359.9779968261719,3.9070929640000003,0.22174505900000002,0.6885119700000001,330876228,1631188868,919676570
6.15505671537892e-06,359.935546875,359.935546875,3.907088297,0.221737496,0.68852142,330876229,1631188868,925719029
6.15505671537892e-06,359.9300231933594,359.9300231933594,3.9070649840000002,0.22173619500000002,0.688542867,330876230,1631188868,932720304
1.2907397403981938e-05,359.9540100097656,359.9540100097656,3.9070443280000005,0.22174132300000002,0.6885145290000001,330876231,1631188868,937767229
1.2907397403981938e-05,359.9336853027344,359.9336853027344,3.9070264220000004,0.22175730800000001,0.6884941790000001,330876232,1631188868,943716032
1.2907397403981938e-05,359.9189758300781,359.9189758300781,3.907031801,0.221755895,0.688494365,330876233,1631188868,949661985
1.2907397403981938e-05,359.935546875,359.935546875,3.907041716,0.22175503900000001,0.688492697,330876234,1631188868,955651020
-2.5974910568458525e-06,359.965087890625,359.965087890625,3.9070657950000003,0.22177053300000002,0.688496325,330876235,1631188868,961690317
-2.5974910568458525e-06,359.9595642089844,359.9595642089844,3.90707013,0.22180244300000002,0.688494742,330876236,1631188868,967711164
-2.5974910568458525e-06,359.981689453125,359.981689453125,3.907098587,0.22179448100000002,0.6884835420000001,330876237,1631188868,973690357
-3.2305232267067228e-06,359.9410705566406,359.9410705566406,3.9071126690000004,0.221789022,0.6884697860000001,330876238,1631188868,979622390
-3.2305232267067228e-06,359.9669189453125,359.9669189453125,3.907105152,0.22179337500000001,0.6884817040000001,330876239,1631188868,985657458
-3.2305232267067228e-06,359.98907470703125,359.98907470703125,3.9070856480000002,0.22180268700000003,0.6884889710000001,330876240,1631188868,991595799
8.845442671143044e-06,359.95587158203125,359.95587158203125,3.9070957770000003,0.221800448,0.688471754,330876241,1631188868,997601184
8.845442671143044e-06,359.965087890625,359.965087890625,3.9070834550000004,0.221810462,0.688464504,330876242,1631188869,3659827
8.845442671143044e-06,359.9687805175781,359.9687805175781,3.9070676430000004,0.22182878900000003,0.688461219,330876243,1631188869,9716925
8.845442671143044e-06,359.95953369140625,359.95953369140625,3.907067263,0.22182659100000002,0.6884697740000001,330876244,1631188869,15589411
6.836445223701128e-06,359.9355163574219,359.9355163574219,3.907063658,0.22181214400000002,0.6884533660000001,330876245,1631188869,21637850
6.836445223701128e-06,359.9761657714844,359.9761657714844,3.9070454800000003,0.22181017300000003,0.688459079,330876246,1631188869,27628394
6.836445223701128e-06,359.97430419921875,359.97430419921875,3.907034893,0.22179973800000002,0.688449541,330876247,1631188869,33750358
-2.6326595739823524e-06,359.981689453125,359.981689453125,3.907023547,0.221801094,0.688445164,330876248,1631188869,39634988
-2.6326595739823524e-06,359.94476318359375,359.94476318359375,3.907017798,0.221796451,0.688420492,330876249,1631188869,45703967
-2.6326595739823524e-06,359.92633056640625,359.92633056640625,3.907018063,0.22178640400000002,0.688437252,330876250,1631188869,51655870
-8.325553327070705e-06,359.9503173828125,359.9503173828125,3.907046139,0.22177695300000003,0.688416113,330876251,1631188869,57603051
-8.325553327070705e-06,359.95953369140625,359.95953369140625,3.9070400320000003,0.221783426,0.688412565,330876252,1631188869,63703054
-8.325553327070705e-06,359.9651184082031,359.9651184082031,3.907050544,0.22177556,0.6884161320000001,330876253,1631188869,69684321
-8.325553327070705e-06,359.9706115722656,359.9706115722656,3.9070663650000004,0.221764227,0.688424904,330876254,1631188869,75579383
7.975023688405081e-06,359.9170837402344,359.9170837402344,3.9070932760000003,0.221760104,0.688437305,330876255,1631188869,81608880
7.975023688405081e-06,359.95770263671875,359.95770263671875,3.907077763,0.22175334900000002,0.6884549320000001,330876256,1631188869,87698369
7.975023688405081e-06,359.9964599609375,359.9964599609375,3.9070692840000003,0.221735131,0.688463158,330876257,1631188869,93631515
1.3478884561261605e-05,359.9171447753906,359.9171447753906,3.9070623920000003,0.22172192100000002,0.688466115,330876258,1631188869,99627359
1.3478884561261605e-05,359.9484558105469,359.9484558105469,3.907056808,0.22172440300000001,0.6884733590000001,330876259,1631188869,105690272
1.3478884561261605e-05,359.9189147949219,359.9189147949219,3.907040159,0.22170266500000002,0.6884785670000001,330876260,1631188869,111648050
-5.727483520914333e-06,359.94110107421875,359.94110107421875,3.9070479830000004,0.221679379,0.6884785600000001,330876261,1631188869,117588090
-5.727483520914333e-06,359.93927001953125,359.93927001953125,3.907068912,0.221655436,0.6884595280000001,330876262,1631188869,123650085
-5.727483520914333e-06,359.9189453125,359.9189453125,3.907059937,0.22165811000000002,0.688451078,330876263,1631188869,129701006
-5.727483520914333e-06,359.9798583984375,359.9798583984375,3.9070456690000004,0.22166591100000002,0.688464945,330876264,1631188869,135606172
