CHI,OMEGA,X_LUT,Y_LUT,Z_LUT
0.0,5.0,0.00016064297600000001,-0.00028569966399999994,0.000414389176
0.0,15.0,0.00018348120202020204,-0.000705128898989899,-0.00018822031313131318
0.0,25.0,0.00020901227272727277,-0.001010301323232323,-0.0006751515252525252
0.0,35.0,0.00028598748000000006,-0.0014734549499999996,-0.0010259093900000002
0.0,45.0,0.00039433084,-0.0018499575900000002,-0.00119145326
0.0,55.0,0.000496749101010101,-0.002225627484848485,-0.001097155606060606
0.0,65.0,0.00062637733,-0.0026604163399999996,-0.00074156994
0.0,75.0,0.00078992149,-0.00316196979,-0.00028778732000000004
0.0,85.0,0.0009669700297029702,-0.0033866915247524752,0.00013126744554455447
0.0,95.0,0.0011149217171717172,-0.0034413571616161618,0.0005617231111111112
0.0,105.0,0.0012714525900000002,-0.00329839026,0.0011433485500000002
0.0,115.0,0.00141796973,-0.0028310170000000008,0.0017722051500000003
0.0,125.0,0.00155634982,-0.0025178559700000003,0.00243972893
0.0,135.0,0.00168194267,-0.00211871325,0.00282037329
0.0,145.0,0.0017706281485148517,-0.0014976181386138613,0.0027708653861386137
0.0,155.0,0.0018474284040404041,-0.0009238867676767676,0.0025903227070707066
0.0,165.0,0.0019007053300000001,-0.00020061356999999998,0.0022815042900000003
0.0,175.0,0.0019241514600000001,0.00040109052999999994,0.0018951715600000001
0.0,185.0,0.0019225626699999998,0.0006654242299999999,0.0013781971400000002
0.0,195.0,0.0018703687800000002,0.0005521007599999999,0.0008315325900000001
0.0,205.0,0.001806708485148515,0.0002861156831683168,0.00017604660396039603
0.0,215.0,0.00171936146,3.189291999999999e-05,-0.0004574407600000001
0.0,225.0,0.0016700483,-0.00042971681,-0.0007799236599999999
0.0,235.0,0.0015837155899999997,-0.00087525037,-0.0008875160699999999
0.0,245.0,0.00144013951,-0.0013796833699999996,-0.0007084294100000001
0.0,255.0,0.0012322176039603959,-0.0018854952673267322,-0.0006059926435643565
0.0,265.0,0.0010174928,-0.0022073564100000003,-0.00039959824000000005
0.0,275.0,0.00084932353,-0.00237076723,-0.00014645366000000005
0.0,285.0,0.0007124318399999999,-0.00232701697,0.00023861066
0.0,295.0,0.0005859146534653466,-0.002172510574257426,0.0007777764752475246
0.0,305.0,0.00048488161,-0.00197387648,0.0012240252799999999
0.0,315.0,0.00038554363636363645,-0.001756216232323232,0.001516873272727273
0.0,325.0,0.00029509097,-0.0015277098799999997,0.0016270547
0.0,335.0,0.00021980823,-0.00114958963,0.0014145105499999997
0.0,345.0,0.00016582803030303035,-0.0006540183333333333,0.000971485808080808
0.0,355.0,9.1420834760274e-05,-0.00031850398030821924,0.0008497178912671233
10.0,5.0,-0.015124552786764707,-0.07503175269117646,-0.02238571888235294
10.0,15.0,-0.01501030071717172,-0.07801789535353534,-0.007293024262626262
10.0,25.0,-0.014902530202020203,-0.07847721985858586,0.00577249114141414
10.0,35.0,-0.014824851400000004,-0.07639657508,0.01842992748
10.0,45.0,-0.014742193019999999,-0.0720584359,0.030937025559999998
10.0,55.0,-0.014599902940594062,-0.06574210206930692,0.04285064772277228
10.0,65.0,-0.014451144747474748,-0.057736455383838384,0.0535768337070707
10.0,75.0,-0.01431795598989899,-0.04789711294949495,0.06267480831313132
10.0,85.0,-0.014096222910891089,-0.03645567744554455,0.06989834562376236
10.0,95.0,-0.01398538086,-0.023620167059999995,0.07508548858
10.0,105.0,-0.013826205762376234,-0.010518431752475249,0.0783947172079208
10.0,115.0,-0.013691252575757576,0.0035026631818181816,0.07904598054545453
10.0,125.0,-0.013509532530000002,0.01697127375,0.07753999198999999
10.0,135.0,-0.01345404882828283,0.030247260737373743,0.0733616158080808
10.0,145.0,-0.013350686861386138,0.04262063282178219,0.06676395923762377
10.0,155.0,-0.013292880649999998,0.0533822851,0.05822860974
10.0,165.0,-0.013267004818181818,0.0627052501818182,0.04777292662626262
10.0,175.0,-0.013285428229999998,0.0700766485,0.03590158893999999
10.0,185.0,-0.013289046379999997,0.07516688085,0.023175980159999998
10.0,195.0,-0.013360561090000002,0.07753178018,0.00924806158
10.0,205.0,-0.01346005906930693,0.077265060990099,-0.00504936307920792
10.0,215.0,-0.013549833540000005,0.07478494716999999,-0.019066620689999998
10.0,225.0,-0.013623720376237622,0.07020380637623762,-0.03221761565346534
10.0,235.0,-0.013777771200000002,0.06299677852,-0.04418184326999999
10.0,245.0,-0.013951992700000002,0.05401689352000001,-0.054424951939999994
10.0,255.0,-0.0141086505,0.04300556391000001,-0.06327666014
10.0,265.0,-0.014251547069999999,0.030837429030000002,-0.07013546423
10.0,275.0,-0.014441486029999999,0.0182229051,-0.07472464306
10.0,285.0,-0.014616462330000003,0.004982127409999999,-0.07690537085
10.0,295.0,-0.014775050730000003,-0.008444643940000001,-0.07671882233999999
10.0,305.0,-0.014902105702970299,-0.021564306039603957,-0.07425317058415841
10.0,315.0,-0.015019739030303026,-0.034172791818181815,-0.0696339302121212
10.0,325.0,-0.015120523603960396,-0.04575313340594059,-0.06278575583168317
10.0,335.0,-0.015135775676767676,-0.05577021703030303,-0.05420263822222223
10.0,345.0,-0.01518440846,-0.06414248548,-0.04468880056
10.0,355.0,-0.015152245351058339,-0.07346810532421269,-0.027771419670108415
20.0,5.0,-0.008681475694117648,-0.1026631783529412,-0.04114609268235294
20.0,15.0,-0.00853449429,-0.10918517887000002,-0.018864064490000002
20.0,25.0,-0.00841533294949495,-0.11097676214141414,-0.0001736385959595961
20.0,35.0,-0.008261852515151517,-0.10947364077777778,0.018359639060606062
20.0,45.0,-0.00814136689108911,-0.10469705376237624,0.036498095425742574
20.0,55.0,-0.007951927650000001,-0.09694324402000001,0.053982283219999996
20.0,65.0,-0.0079260068989899,-0.08633831525252524,0.06970889235353535
20.0,75.0,-0.007764753880000002,-0.07324860922,0.08359349871999999
20.0,85.0,-0.0076074116831683185,-0.05785051673267327,0.09501557486138615
20.0,95.0,-0.007441912850000002,-0.040600020050000005,0.10357853897000002
20.0,105.0,-0.0072850121900000005,-0.022028252569999997,0.10914887422999998
20.0,115.0,-0.00717427391919192,-0.002848031888888889,0.11140488790909092
20.0,125.0,-0.007044085168316831,0.016749977386138613,0.11033331014851487
20.0,135.0,-0.006969520808080807,0.03585124471717173,0.10562343878787879
20.0,145.0,-0.006867422613861388,0.0536268054158416,0.09763215635643564
20.0,155.0,-0.006776665666666667,0.06973737083838386,0.08658987726262628
20.0,165.0,-0.006775344920000001,0.08376116087999998,0.07306301605
20.0,175.0,-0.006765748828282828,0.09498451050505052,0.05745836356565657
20.0,185.0,-0.006864497217821782,0.10311540555445543,0.03983962201980198
20.0,195.0,-0.006897375277227722,0.10796908692079207,0.02075267622772277
20.0,205.0,-0.006961233727272726,0.10940276928282829,0.0011132889292929293
20.0,215.0,-0.007077868930693068,0.10747705205940596,-0.018391766079207922
20.0,225.0,-0.0071677708400000005,0.10232564814000002,-0.03731771366
20.0,235.0,-0.0072547138217821765,0.09385996215841584,-0.05477778593069307
20.0,245.0,-0.0073907589191919195,0.08228163579797981,-0.0706300622929293
20.0,255.0,-0.007577209370000001,0.06797345455,-0.0841039743
20.0,265.0,-0.007736232650000001,0.05176974354000001,-0.09502925287999998
20.0,275.0,-0.00789983981372549,0.03392691541176471,-0.1032126237647059
20.0,285.0,-0.008030943747474747,0.015365626848484849,-0.107995342
20.0,295.0,-0.008201812210000001,-0.00325082671,-0.10929617442
20.0,305.0,-0.00836792665,-0.02214139271,-0.10717256057
20.0,315.0,-0.008516094722772278,-0.040556396168316834,-0.1020484547128713
