OMEGA,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
0,0.0,0.0,0.0,0,0,0
359.9300537109375,0.0,0.0,0.0,12030794,1636102956,261725219
359.9540100097656,0.0,0.0,0.0,12030795,1636102956,266756222
359.9798583984375,0.0,0.0,0.0,12030796,1636102956,271746644
359.9466552734375,0.0,0.0,0.0,12030797,1636102956,276788083
359.9318542480469,0.0,0.0,0.0,12030798,1636102956,281760577
359.9595642089844,0.0,0.0,0.0,12030799,1636102956,286910039
359.98907470703125,0.0,0.0,0.0,12030800,1636102956,291775963
359.95770263671875,0.0,0.0,0.0,12030801,1636102956,296748090
359.95770263671875,0.0,0.0,0.0,12030802,1636102956,301788195
359.95770263671875,0.0,0.0,0.0,12030803,1636102956,306694504
359.95770263671875,0.0,0.0,0.0,12030804,1636102956,311786531
359.9503479003906,0.0,0.0,0.0,12030805,1636102956,316716465
359.98724365234375,0.0,0.0,0.0,12030806,1636102956,321748004
359.9632568359375,0.0,0.0,0.0,12030807,1636102956,326731472
359.931884765625,0.0,0.0,0.0,12030808,1636102956,331758021
359.9484558105469,0.0,0.0,0.0,12030809,1636102956,336790891
359.9687805175781,0.0,0.0,0.0,12030810,1636102956,341849976
359.9466552734375,0.0,0.0,0.0,12030811,1636102956,346812966
359.98907470703125,0.0,0.0,0.0,12030812,1636102956,351741321
359.965087890625,0.0,0.0,0.0,12030813,1636102956,356787036
359.9909362792969,0.0,0.0,0.0,12030814,1636102956,361786659
359.9558410644531,0.0,0.0,0.0,12030815,1636102956,366828883
359.92633056640625,0.0,0.0,0.0,12030816,1636102956,371775957
359.9558410644531,0.0,0.0,0.0,12030817,1636102956,376762025
359.9300231933594,0.0,0.0,0.0,12030818,1636102956,381777011
359.9466247558594,0.0,0.0,0.0,12030819,1636102956,386828597
359.93927001953125,0.0,0.0,0.0,12030820,1636102956,391723410
359.97430419921875,0.0,0.0,0.0,12030821,1636102956,396758446
359.98724365234375,0.0,0.0,0.0,12030822,1636102956,401967984
359.9613952636719,0.0,0.0,0.0,12030823,1636102956,406725857
359.9244689941406,0.0,0.0,0.0,12030824,1636102956,411857783
359.9613952636719,0.0,0.0,0.0,12030825,1636102956,416849541
359.97247314453125,0.0,0.0,0.0,12030826,1636102956,421921150
359.9669494628906,0.0,0.0,0.0,12030827,1636102956,426868922
359.92633056640625,0.0,0.0,0.0,12030828,1636102956,431838999
359.9521484375,0.0,0.0,0.0,12030829,1636102956,436960796
359.9761657714844,0.0,0.0,0.0,12030830,1636102956,441864160
359.9558410644531,0.0,0.0,0.0,12030831,1636102956,446813777
359.93743896484375,0.0,0.0,0.0,12030832,1636102956,451868374
359.965087890625,0.0,0.0,0.0,12030833,1636102956,456900863
359.9392395019531,0.0,0.0,0.0,12030834,1636102956,461868107
359.9447937011719,0.0,0.0,0.0,12030835,1636102956,466865954
359.981689453125,0.0,0.0,0.0,12030836,1636102956,471836833
359.94293212890625,0.0,0.0,0.0,12030837,1636102956,476826963
359.92822265625,0.0,0.0,0.0,12030838,1636102956,481917084
359.9632263183594,0.0,0.0,0.0,12030839,1636102956,486937185
359.9558410644531,0.0,0.0,0.0,12030840,1636102956,491934392
359.965087890625,0.0,0.0,0.0,12030841,1636102956,496870264
359.9300537109375,0.0,0.0,0.0,12030842,1636102956,501992567
359.95587158203125,0.0,0.0,0.0,12030843,1636102956,506892493
359.9798583984375,0.0,0.0,0.0,12030844,1636102956,511868330
359.9410705566406,0.0,0.0,0.0,12030845,1636102956,516883002
359.9485168457031,0.0,0.0,0.0,12030846,1636102956,521888503
359.9447937011719,0.0,0.0,0.0,12030847,1636102956,526797875
359.981689453125,0.0,0.0,0.0,12030848,1636102956,531880615
359.94110107421875,0.0,0.0,0.0,12030849,1636102956,536814436
359.95587158203125,0.0,0.0,0.0,12030850,1636102956,541808328
359.9392395019531,0.0,0.0,0.0,12030851,1636102956,546787603
359.95587158203125,0.0,0.0,0.0,12030852,1636102956,551845906
359.97247314453125,0.0,0.0,0.0,12030853,1636102956,556874366
359.95770263671875,0.0,0.0,0.0,12030854,1636102956,561870789
359.9466247558594,0.0,0.0,0.0,12030855,1636102956,566849605
359.9779968261719,0.0,0.0,0.0,12030856,1636102956,571773797
359.9687805175781,0.0,0.0,0.0,12030857,1636102956,576751682
359.9835205078125,0.0,0.0,0.0,12030858,1636102956,581720018
359.97247314453125,0.0,0.0,0.0,12030859,1636102956,586858299
359.99090576171875,0.0,0.0,0.0,12030860,1636102956,591844629
359.9706115722656,0.0,0.0,0.0,12030861,1636102956,596808441
359.9374084472656,0.0,0.0,0.0,12030862,1636102956,601949024
359.9447937011719,0.0,0.0,0.0,12030863,1636102956,606884505
359.9853820800781,0.0,0.0,0.0,12030864,1636102956,611861489
359.95770263671875,0.0,0.0,0.0,12030865,1636102956,616769069
359.97247314453125,0.0,0.0,0.0,12030866,1636102956,621767242
