,CHI,OMEGA,OMEGA_Cont,X_LUT,Y_LUT,Z_LUT
0,0.0,5.0,5.0,-0.0044423006355139025,-0.0021815072990654175,-8.764420560745258e-05
1,0.0,15.0,15.0,-0.004390963499999895,-0.0021461615487804843,-0.0005253348902438806
2,0.0,25.0,25.0,-0.0043316697023808425,-0.002341152452380948,-0.0007500996190475937
3,0.0,35.0,35.0,-0.00426264014457823,-0.002544367506024093,-0.000968472819277084
4,0.0,45.0,45.0,-0.0041683148795179596,-0.002765620457831322,-0.001033796602409612
5,0.0,55.0,55.0,-0.004032230523809426,-0.0031381032857142823,-0.0009058977142856921
6,0.0,65.0,65.0,-0.003911124722891461,-0.0035298820240963805,-0.0006242828072288943
7,0.0,75.0,75.0,-0.003776498602409538,-0.0038782181325301163,-0.00024010228915660202
8,0.0,85.0,85.0,-0.003573344265060141,-0.004135450084337345,0.0002553583975903817
9,0.0,95.0,95.0,-0.0033653569518071465,-0.004086620879518069,0.0008843736506024373
10,0.0,105.0,105.0,-0.003183056894117562,-0.0036929207999999943,0.0015479791529412021
11,0.0,115.0,115.0,-0.0030134760975608684,-0.00303982684146341,0.0022747671585366105
12,0.0,125.0,125.0,-0.0028167392289155445,-0.002782156493975901,0.0030009071807229116
13,0.0,135.0,135.0,-0.002665236702380862,-0.0021098244285714246,0.00352226771428574
14,0.0,145.0,145.0,-0.0025813665238094167,-0.0009343811904761871,0.0037101743095238364
15,0.0,155.0,155.0,-0.002491630024096293,0.0001608010963855447,0.0036776420843373774
16,0.0,165.0,165.0,-0.0024100814457830326,0.0012880924457831357,0.0032802086385542435
17,0.0,175.0,175.0,-0.002364275195121845,0.0022827730731707343,0.0025230470975609993
18,0.0,185.0,185.0,-0.002370867523809402,0.002825772916666669,0.0016642646190476531
19,0.0,195.0,195.0,-0.002399986619047511,0.0029910199404761953,0.0006138971309524124
20,0.0,205.0,205.0,-0.002462188214285592,0.002954613666666671,-0.0005687585357142599
21,0.0,215.0,215.0,-0.002562245819277013,0.0025793743253012076,-0.0018060401686746754
22,0.0,225.0,225.0,-0.0026615936867468966,0.0020180160602409672,-0.0029297085783132316
23,0.0,235.0,235.0,-0.00280036592857131,0.0013269721785714324,-0.0036571719761904473
24,0.0,245.0,245.0,-0.002968878243902356,0.0004736139390243929,-0.0036550502073170506
25,0.0,255.0,255.0,-0.003204963630952298,-0.00035300358333332897,-0.0036386132738094983
26,0.0,265.0,265.0,-0.0033626533734938697,-0.001411231469879514,-0.003754278156626482
27,0.0,275.0,275.0,-0.0035820880238094216,-0.0021656353809523764,-0.003690141666666636
28,0.0,285.0,285.0,-0.0037104523132529222,-0.002857739638554213,-0.003186320289156599
29,0.0,295.0,295.0,-0.0038716693012047056,-0.0033084474698795155,-0.0025187606746987683
30,0.0,305.0,305.0,-0.004027594928571314,-0.00359963764285714,-0.0017465894285714028
31,0.0,315.0,315.0,-0.004121563879517952,-0.003652365710843371,-0.001053126096385518
32,0.0,325.0,325.0,-0.004226743783132422,-0.003481598289156623,-0.0006254686265059995
33,0.0,335.0,335.0,-0.00431172901204809,-0.0031433425060240928,-0.0002133589277108153
34,0.0,345.0,345.0,-0.004334509738095122,-0.002617184166666662,7.472159523812183e-05
35,0.0,355.0,355.0,-0.004340622782024687,-0.0020299696890495834,-0.00010378188636361105
36,10.0,5.0,365.0,-0.014039087974137837,0.041143678905172426,-0.02204806905172411
37,10.0,15.0,375.0,-0.013931821847058726,0.03605110224705882,-0.030598567235294093
38,10.0,25.0,385.0,-0.013894608256097465,0.030161207000000006,-0.03703913202439022
39,10.0,35.0,395.0,-0.01378138884337338,0.02307298871084338,-0.042380381253012016
40,10.0,45.0,405.0,-0.013682192523809422,0.015403158440476192,-0.04654564769047616
41,10.0,55.0,415.0,-0.013579421506023988,0.007300185445783135,-0.04896705119277106
