OMEGA,Radius,AI0,AI1,Sequenz1,Sequenz2,Sekunden1,Sekunden1,NaoSek1,NanoSek2,DMS1,DMS2,DMS3,CHI,PHI
359.8456115722656,4.992446422576904,4.882594585418701,0.040550049394369125,13547011,11266232,1626250797,1626250797,588042975,590027417,99522636.0,-59040535.0,92699254.0,4.814259687638087e-06,2.2360000000000003e-06
359.77154541015625,4.989414691925049,4.879608154296875,0.03426290303468704,13547012,11266233,1626250797,1626250797,592935778,596089492,99546418.0,-59032970.0,92707612.0,4.814259687638087e-06,2.2360000000000003e-06
359.83270263671875,4.99341344833374,4.883537292480469,0.03944979980587959,13547013,11266233,1626250797,1626250797,597933800,596089492,99546418.0,-59032970.0,92707612.0,4.814259687638087e-06,2.2360000000000003e-06
359.7828063964844,4.993588924407959,4.883694648742676,0.03520597517490387,13547014,11266234,1626250797,1626250797,602912799,602590623,99574618.0,-59039680.0,92704994.0,3.921860392878565e-06,5.081e-06
359.8085632324219,4.990044593811035,4.880236625671387,0.037406474351882935,13547015,11266236,1626250797,1626250797,607939071,614079072,99594842.0,-59022234.0,92705547.0,3.921860392878565e-06,5.081e-06
359.810546875,4.993580341339111,4.883694648742676,0.03756365552544594,13547016,11266238,1626250797,1626250797,612952572,626114481,99595869.0,-59032634.0,92720018.0,3.921860392878565e-06,5.081e-06
359.7808837890625,4.9916605949401855,4.881808280944824,0.035048797726631165,13547017,11266238,1626250797,1626250797,618092488,626114481,99595869.0,-59032634.0,92720018.0,3.2272835456473796e-06,-7.0130000000000004e-06
359.8399963378906,4.990519046783447,4.88070821762085,0.04007851332426071,13547018,11266239,1626250797,1626250797,623934118,635113882,99594265.0,-59042422.0,92725943.0,3.2272835456473796e-06,-7.0130000000000004e-06
359.7882080078125,4.989729881286621,4.879922389984131,0.03567751124501228,13547019,11266240,1626250797,1626250797,629918390,640204302,99596418.0,-59031420.0,92723566.0,3.2272835456473796e-06,-7.0130000000000004e-06
359.821533203125,4.991327285766602,4.881494045257568,0.038506727665662766,13547020,11266241,1626250797,1626250797,632930907,646071023,99629466.0,-59049753.0,92731468.0,-2.280165684919788e-07,-1.2315000000000002e-05
359.8271179199219,4.992611408233643,4.88275146484375,0.03897826373577118,13547021,11266242,1626250797,1626250797,637925607,652072751,99663570.0,-59054779.0,92709064.0,-2.280165684919788e-07,-1.2315000000000002e-05
359.77520751953125,4.988770008087158,4.878979206085205,0.03457726165652275,13547022,11266242,1626250797,1626250797,644053100,652072751,99663570.0,-59054779.0,92709064.0,-2.280165684919788e-07,-1.2315000000000002e-05
359.7974548339844,4.989887714385986,4.880079746246338,0.036463405936956406,13547023,11266243,1626250797,1626250797,647914795,658127564,99681293.0,-59152908.0,92540252.0,-2.280165684919788e-07,-1.2315000000000002e-05
359.8475036621094,4.993570804595947,4.883694648742676,0.04070722684264183,13547024,11266243,1626250797,1626250797,652904634,658127564,99681293.0,-59152908.0,92540252.0,-2.280165684919788e-07,-1.2315000000000002e-05
359.8399963378906,4.990357875823975,4.880550861358643,0.04007851332426071,13547025,11266244,1626250797,1626250797,657906453,667539063,99864926.0,-59121249.0,92486498.0,-1.2624897791990785e-05,1.3986000000000001e-05
359.8435974121094,4.9876251220703125,4.8778791427612305,0.04039286822080612,13547026,11266245,1626250797,1626250797,667701025,674014204,100033604.0,-59001320.0,92660732.0,-1.2624897791990785e-05,1.3986000000000001e-05
359.83087158203125,4.9937357902526855,4.883852005004883,0.03929261863231659,13547027,11266245,1626250797,1626250797,669933192,674014204,100033604.0,-59001320.0,92660732.0,-1.2624897791990785e-05,1.3986000000000001e-05
359.78460693359375,4.9921417236328125,4.882279872894287,0.035363152623176575,13547028,11266246,1626250797,1626250797,672967130,680506654,100207906.0,-58825123.0,92671958.0,-1.2624897791990785e-05,1.3986000000000001e-05
359.8158874511719,4.988757133483887,4.878979206085205,0.03803519159555435,13547029,11266247,1626250797,1626250797,677905735,686025904,100375893.0,-58593242.0,92626196.0,-1.653299354973305e-05,3.197e-06
359.84185791015625,4.99083948135376,4.8810224533081055,0.04023569077253342,13547030,11266247,1626250797,1626250797,683136412,686025904,100375893.0,-58593242.0,92626196.0,-1.653299354973305e-05,3.197e-06
359.8049011230469,4.9910101890563965,4.8811798095703125,0.037092119455337524,13547031,11266248,1626250797,1626250797,687915565,692157805,100472458.0,-58392762.0,92609260.0,-1.653299354973305e-05,3.197e-06
359.8141784667969,4.991971969604492,4.882122993469238,0.03787801042199135,13547032,11266248,1626250797,1626250797,692963355,692157805,100472458.0,-58392762.0,92609260.0,-1.653299354973305e-05,3.197e-06
359.8085632324219,4.990366458892822,4.880550861358643,0.037406474351882935,13547033,11266250,1626250797,1626250797,697917709,706089562,100594194.0,-57993502.0,92589850.0,-1.653299354973305e-05,3.197e-06
359.7716369628906,4.991342544555664,4.881494045257568,0.03426290303468704,13547034,11266251,1626250797,1626250797,702950097,712137250,100562502.0,-57839735.0,92571127.0,5.535212826005423e-06,-2.9920000000000003e-06
359.8345031738281,4.992288112640381,4.882437229156494,0.0396069772541523,13547035,11266253,1626250797,1626250797,707952535,724090574,100182248.0,-57416012.0,92568694.0,5.535212826005423e-06,-2.9920000000000003e-06
359.769775390625,4.991503715515137,4.881651401519775,0.03410572558641434,13547036,11266254,1626250797,1626250797,712932049,730022448,100089029.0,-57279092.0,92580402.0,4.115286855745442e-06,-5.111000000000001e-06
