OMEGA,Radius,AI0,AI1,Counter,Sequenz1,Sequenz2,Sekunden1,Sekunden1,NaoSek1,NanoSek2,DMS1,DMS2,DMS3,CHI,PHI
359.814208984375,4.993257999420166,4.88338041305542,0.03787801042199135,0,18340125,15192120,1626274788,1626274788,391098676,390969271,6006295770.0,-43196515.0,-169239038.0,2.4096171417152266e-06,-4.194e-06
359.7568054199219,4.990865230560303,4.8810224533081055,0.033005475997924805,0,18340126,15192121,1626274788,1626274788,396106693,397080564,6006289916.0,-43180016.0,-169228803.0,2.4096171417152266e-06,-4.194e-06
359.8290100097656,4.9930925369262695,4.883223056793213,0.039135441184043884,0,18340127,15192122,1626274788,1626274788,401090965,403076808,6006303879.0,-43188853.0,-169232145.0,2.4096171417152266e-06,-4.194e-06
359.8251647949219,4.989398002624512,4.879608154296875,0.038821082562208176,0,18340128,15192123,1626274788,1626274788,406142163,409020698,6006320447.0,-43203294.0,-169215323.0,2.4096171417152266e-06,-4.194e-06
359.8269958496094,4.989075660705566,4.879293441772461,0.03897826373577118,0,18340129,15192123,1626274788,1626274788,411839175,409020698,6006320447.0,-43203294.0,-169215323.0,-1.0368909419501855e-06,-1.3780000000000002e-06
359.8474426269531,4.991641998291016,4.881808280944824,0.04070722684264183,0,18340130,15192124,1626274788,1626274788,416082632,415001815,6006330225.0,-43219076.0,-169226701.0,-1.0368909419501855e-06,-1.3780000000000002e-06
359.8252868652344,4.993093967437744,4.883223056793213,0.038821082562208176,0,18340131,15192125,1626274788,1626274788,421186706,420972396,6006342807.0,-43222920.0,-169216831.0,-1.0368909419501855e-06,-1.3780000000000002e-06
359.7807312011719,4.988286018371582,4.878507614135742,0.035048797726631165,0,18340132,15192126,1626274788,1626274788,426108077,426985911,6006347101.0,-43241093.0,-169216861.0,-8.214842336947387e-07,4.752e-06
359.8437805175781,4.992607116699219,4.88275146484375,0.04039286822080612,0,18340133,15192127,1626274788,1626274788,431132973,433039342,6006361677.0,-43263018.0,-169206369.0,-8.214842336947387e-07,4.752e-06
359.81964111328125,4.98988151550293,4.880079746246338,0.03834954649209976,0,18340134,15192128,1626274788,1626274788,436129055,439027607,6006358714.0,-43271171.0,-169195496.0,-8.214842336947387e-07,4.752e-06
359.8123474121094,4.992775917053223,4.882908821105957,0.03772083297371864,0,18340135,15192129,1626274788,1626274788,441117649,447070107,6006346406.0,-43269503.0,-169189913.0,-7.230935074064358e-06,-5.563e-06
359.84375,4.991642951965332,4.881808280944824,0.04039286822080612,0,18340136,15192130,1626274788,1626274788,446097448,453013606,6006334441.0,-43263443.0,-169207431.0,-7.230935074064358e-06,-5.563e-06
359.7846374511719,4.992945194244385,4.883065700531006,0.035363152623176575,0,18340137,15192130,1626274788,1626274788,451972635,453013606,6006334441.0,-43263443.0,-169207431.0,-7.230935074064358e-06,-5.563e-06
359.84368896484375,4.990356922149658,4.880550861358643,0.04039286822080612,0,18340138,15192130,1626274788,1626274788,456127657,453013606,6006334441.0,-43263443.0,-169207431.0,-7.230935074064358e-06,-5.563e-06
