CHI,OMEGA,X_corr,Y_corr,Z_corr
0,2.5,0.000243119701754,0.000961679157895,-0.000103407947368
0,7.5,0.000262615121951,0.00096403504878,-0.000185376170732
0,12.5,0.000234028219512,0.000896567463415,-0.000303691073171
0,17.5,0.000212814738095,0.000873574,-0.000477311785714
0,22.5,0.000228359190476,0.000805009,-0.000599598190476
0,27.5,0.000284165219512,0.00055232804878,-0.000701047463415
0,32.5,0.000334760756097,0.000372541487805,-0.00087699
0,37.5,0.000387838619048,0.000206701238095,-0.001007132309524
0,42.5,0.000412135166667,6.21869999999933E-05,-0.001111323523809
0,47.5,0.000459266658536,-0.000134772292683,-0.001057773439024
0,52.5,0.000523176571428,-0.000352951690476,-0.001010493357143
0,57.5,0.000589677190476,-0.000575003714286,-0.000858062261905
0,62.5,0.000688024682927,-0.000880055390244,-0.000795080682927
0,67.5,0.000786678372093,-0.001148032069767,-0.000672455162791
0,72.5,0.000887893634146,-0.001538725,-0.000517114170732
0,77.5,0.000981902731707,-0.001706933341463,-0.000401794292683
0,82.5,0.001090053142857,-0.001536477833333,-0.000116388928571
0,87.5,0.001204415333333,-0.001635514,0.000198343619048
0,92.5,0.001292744512195,-0.001856496146341,0.000526762682927
0,97.5,0.001399520146341,-0.001806221463415,0.000917323902439
0,102.5,0.001487211139535,-0.001730139046512,0.001240023232558
0,107.5,0.001585552926829,-0.001515381,0.001800867853659
0,112.5,0.00165612897619,-0.001232101404762,0.002240085880952
0,117.5,0.001751669926829,-0.001132134463415,0.002612747512195
0,122.5,0.001891822119047,-0.001202699738095,0.003309313738095
0,127.5,0.00193133397619,-0.000695148928571,0.0035549855
0,132.5,0.001970234658537,-0.00019513004878,0.003817375560976
0,137.5,0.002010262404762,0.00040190447619,0.003970317095238
0,142.5,0.002026996166667,0.000866807952381,0.004144552619048
0,147.5,0.002088940731707,0.001342103536585,0.004411000512195
0,152.5,0.002113212904762,0.001866851952381,0.004326804904762
0,157.5,0.002144209658536,0.002459628463415,0.004134897195122
0,162.5,0.002157518333333,0.003061944547619,0.004025417738095
0,167.5,0.002149934738095,0.003730868095238,0.003753265190476
0,172.5,0.002175911463414,0.004256967512195,0.003489296
0,177.5,0.002181061642857,0.004643110547619,0.003158216619048
0,182.5,0.002188308833333,0.004956516404762,0.002815640261905
0,187.5,0.002167529829268,0.005209647439024,0.002431699780488
0,192.5,0.002158044595238,0.005397412666667,0.002020096761905
0,197.5,0.002169479738095,0.005268897928571,0.00161297702381
0,202.5,0.002138649547619,0.005107886119048,0.000831541428571
0,207.5,0.002089974666666,0.004997636738095,0.000311795547619
0,212.5,0.002084360317073,0.004873259634146,-0.000175063585366
0,217.5,0.002055132285714,0.004827959214286,-0.000731343119048
0,222.5,0.001995042309524,0.004683264404762,-0.001171083738095
0,227.5,0.001890819951219,0.004398195707317,-0.001677601146341
0,232.5,0.001855517,0.004159698439024,-0.00203752402439
0,237.5,0.001749587348837,0.00394872327907,-0.002312048744186
0,242.5,0.001683866268293,0.003643440268293,-0.002548232634146
0,247.5,0.0016138915,0.00304951052381,-0.002549259714286
0,252.5,0.001536581951219,0.002437660560976,-0.002703825097561
0,257.5,0.00144515,0.001923112785714,-0.002798442285714
0,262.5,0.001352553170732,0.001550414658537,-0.002780778219512
0,267.5,0.001242534930232,0.001174179162791,-0.00277813255814
0,272.5,0.001182866341463,0.000819379463415,-0.002669098219512
0,277.5,0.001091371666667,0.000398881357143,-0.002543789
0,282.5,0.001060375309524,1.63519999999913E-05,-0.002018956547619
0,287.5,0.001004276926829,-0.000389743317073,-0.001629013365854
0,292.5,0.00083094047619,-0.000348216785714,-0.001545924523809
0,297.5,0.000678048928571,-0.000469791047619,-0.001550958380952
0,302.5,0.000582172365853,-0.000462957731707,-0.001214303268293
0,307.5,0.000540266731707,-0.000436329682927,-0.000864302707317
0,312.5,0.000451886238095,-0.000408680428571,-0.000645137428571
0,317.5,0.000387859738095,-6.09180238095302E-05,-0.000509118690476
0,322.5,0.000341242268292,-0.00015942002439,-0.00023854402439
0,327.5,0.000289676452381,-0.000129944690476,6.33245238099553E-06
0,332.5,0.000254953738095,8.8403333333328E-05,0.000300693
0,337.5,0.00023339404878,0.000268008707317,0.000279008585366
0,342.5,0.000230639428571,0.000519227809524,0.000329951404762
0,347.5,0.00022318297619,0.000739746357143,0.000426834547619
0,352.5,0.000200441268293,0.000939919390244,0.000366127097561
0,357.5,4.66944909342931E-05,0.000417778589261,-0.000124818888424
10,2.5,-0.009889876684932,0.044993305808219,-0.019734499712329
10,7.5,-0.009830161902439,0.042447421097561,-0.024605661292683
10,12.5,-0.009823277119048,0.040396270595238,-0.028101718119048
10,17.5,-0.009813765761905,0.037878284928572,-0.031306628952381
10,22.5,-0.009787535146342,0.034795967804878,-0.034778205317073
10,27.5,-0.009738467658537,0.031493963585366,-0.037821666195122
10,32.5,-0.009661919761905,0.028134866809524,-0.040561756119048
10,37.5,-0.009606908146342,0.024581984414634,-0.043158869634146
10,42.5,-0.009472294604651,0.020664636837209,-0.045354470813954
10,47.5,-0.009452079487805,0.01661954902439,-0.046958420560976
10,52.5,-0.00940767795122,0.012347263243903,-0.048055148121951
10,57.5,-0.009356019452381,0.008312462952381,-0.048730731214286
10,62.5,-0.009218825333333,0.003640842904762,-0.048989920714286
10,67.5,-0.009142687902439,-0.000854128780488,-0.049096215487805
10,72.5,-0.008996593476191,-0.005745609,-0.048877744214286
10,77.5,-0.008856358571429,-0.010348343952381,-0.048095965976191
10,82.5,-0.008774679634147,-0.014637151560976,-0.046967798365854
10,87.5,-0.008733168325582,-0.018554526023256,-0.045534748930233
10,92.5,-0.008583930073171,-0.022613546487805,-0.043618753585366
10,97.5,-0.008506679333334,-0.026368268095238,-0.041374062333333
10,102.5,-0.008427538238095,-0.029927822166667,-0.03869053702381
10,107.5,-0.008305843333334,-0.033193671666667,-0.035499613238095
10,112.5,-0.008198935073171,-0.036070860292683,-0.032170950365854
10,117.5,-0.008129201404762,-0.038586069571429,-0.028783865476191
