OMEGA,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
0,1.207259875,0.7108192720000001,0.170013037,0,0,0
359.9761657714844,1.207256426,0.710821612,0.170016943,386006,1636469985,113112908
359.97247314453125,1.207269717,0.710815101,0.17002213700000002,386008,1636469985,123259836
359.97247314453125,1.2072877770000001,0.710792532,0.170030385,386008,1636469985,123259836
359.97430419921875,1.2073001620000001,0.710774617,0.170039601,386009,1636469985,128225023
359.9613952636719,1.2073244200000002,0.7107643450000001,0.17005457400000001,386010,1636469985,133127535
359.931884765625,1.2073340270000001,0.7107597320000001,0.170061802,386012,1636469985,143176067
359.931884765625,1.2073483390000002,0.710740899,0.17006517300000001,386012,1636469985,143176067
359.9337158203125,1.2073533730000001,0.710721418,0.170069672,386013,1636469985,148186959
359.9817199707031,1.207343368,0.71072111,0.17006557600000002,386014,1636469985,153128590
359.9853820800781,1.2073345880000002,0.7107299450000001,0.17005873500000002,386016,1636469985,163277967
359.9853820800781,1.207327757,0.7107477320000001,0.17005065300000002,386016,1636469985,163277967
359.9337158203125,1.20732072,0.710747416,0.17005503200000002,386017,1636469985,168133856
359.9281921386719,1.207308177,0.7107542480000001,0.17004659700000002,386018,1636469985,173155113
359.94476318359375,1.2072910330000002,0.710773604,0.17003821900000002,386019,1636469985,178183869
359.9577331542969,1.207278558,0.710785754,0.17003758500000002,386020,1636469985,183099352
359.9244689941406,1.207280539,0.710795134,0.170032033,386022,1636469985,193132037
359.9244689941406,1.207271889,0.710800235,0.170028845,386022,1636469985,193132037
359.948486328125,1.207268092,0.710794158,0.170028691,386023,1636469985,198184931
359.9779968261719,1.207272887,0.710795764,0.17003077300000002,386024,1636469985,203106250
359.9392395019531,1.207284819,0.710791178,0.170029819,386026,1636469985,213098467
359.9392395019531,1.2073015660000002,0.710773926,0.170028489,386026,1636469985,213098467
359.9319152832031,1.2073138920000002,0.710763129,0.17003057000000002,386028,1636469985,223540969
359.9319152832031,1.20733069,0.7107607570000001,0.17003885600000002,386028,1636469985,223540969
359.9337158203125,1.207332741,0.7107410700000001,0.170039098,386029,1636469985,228306791
359.9761657714844,1.2073441500000002,0.7107396330000001,0.17004569500000002,386030,1636469985,233235150
359.9336853027344,1.20734911,0.7107351980000001,0.17005937100000001,386032,1636469985,243269360
359.9336853027344,1.2073434550000002,0.710734178,0.170071138,386032,1636469985,243269360
359.95770263671875,1.207326978,0.71073224,0.17009569000000002,386033,1636469985,248129329
359.9835510253906,1.207307807,0.7107325550000001,0.17012516500000002,386034,1636469985,253228892
359.9189758300781,1.207297015,0.710734364,0.170163331,386036,1636469985,263288928
359.9189758300781,1.207281992,0.7107401040000001,0.17019678300000002,386036,1636469985,263288928
359.9521789550781,1.2072700760000001,0.710745131,0.170242306,386037,1636469985,268261297
359.9853820800781,1.207261857,0.7107600550000001,0.170279129,386038,1636469985,273172233
359.9632568359375,1.207252022,0.7107566200000001,0.17033289100000001,386039,1636469985,278200426
359.9798583984375,1.207244132,0.710757431,0.17039890200000002,386040,1636469985,283218663
359.9263610839844,1.2072498600000001,0.7107675560000001,0.17047320800000001,386042,1636469985,293241599
359.9263610839844,1.2072643760000001,0.710779131,0.170536728,386042,1636469985,293241599
359.9337158203125,1.2072742520000002,0.710789148,0.17060840200000002,386044,1636469985,303263217
359.9337158203125,1.207293208,0.710801038,0.170657257,386044,1636469985,303263217
359.9189147949219,1.2074264110000001,0.710890942,0.170588957,386046,1636469985,313130290
359.9189147949219,1.2074411900000002,0.71085763,0.17065544000000002,386046,1636469985,313130290
359.9798583984375,1.207422255,0.71081316,0.17074935400000002,386048,1636469985,323297905
359.9798583984375,1.2073948380000001,0.710755951,0.170850482,386048,1636469985,323297905
359.965087890625,1.20737887,0.7106977090000001,0.17093724500000002,386049,1636469985,328185098
359.9669494628906,1.2073573180000001,0.710663048,0.17100679200000002,386050,1636469985,333129313
359.95587158203125,1.2073263630000002,0.710656426,0.171058236,386052,1636469985,343343745
359.95587158203125,1.2073140900000001,0.7106627440000001,0.17108995200000002,386052,1636469985,343343745
359.9835510253906,1.207309224,0.7106622530000001,0.171093442,386054,1636469985,353178955
359.9835510253906,1.2073073140000001,0.710670211,0.17109875000000002,386054,1636469985,353178955
359.92816162109375,1.207284382,0.7106959700000001,0.17110371100000002,386055,1636469985,358182106
